id,user_id,request_method,request_path,request_ip,request_user_agent,request_timestamp,response_status,response_time_ms,error_message,created_at
1,,POST,/api/login,[0:0:0:0:0:0:0:1],curl/8.11.1,2025-05-12 19:46:45.345631,201,125,,2025-05-12 19:46:45.351793
2,2,GET,/api/get_logs,[0:0:0:0:0:0:0:1],curl/8.11.1,2025-05-12 19:48:18.795987,201,22,,2025-05-12 19:48:18.800565
3,,POST,/api/login,[0:0:0:0:0:0:0:1],curl/8.11.1,2025-05-12 20:19:09.555138,201,280,,2025-05-12 20:19:09.558577
4,2,GET,/api/get_transactions,[0:0:0:0:0:0:0:1],curl/8.11.1,2025-05-12 20:19:59.96192,201,444,,2025-05-12 20:19:59.963143
5,,POST,/api/login,[0:0:0:0:0:0:0:1],curl/8.11.1,2025-05-12 20:21:50.095745,201,69,,2025-05-12 20:21:50.098063
6,2,GET,/api/get_logs,[0:0:0:0:0:0:0:1],curl/8.11.1,2025-05-12 20:22:25.311557,,,,2025-05-12 20:22:25.313729
